CANTON,D1_norm,D2_norm,D3_norm,IBTC,tipologia_num,tipologia,pob_total,pob_menores5,pob_mayores65,pob_0_3,pob_discapacidad,jef_fem,jef_total,pct_menores5,pct_mayores65,pct_discap,pct_jef_fem,pct_nbi
303,0.3774930382483083,0.22477947797254125,0.41200446759330017,0.3233099000069999,2,En Transición,52150,4017,6849,3125,4901,771,23809,0.07702780441035474,0.1313326941514861,0.09397890699904123,0.032382712419673235,0.46584851390220516
304,0.424629172985302,0.3933984107776294,0.3973543618736137,0.4066819058798953,3,Vulnerable,62103,5870,4773,4581,5621,1572,29791,0.09452039353976459,0.076856190522197,0.09051092539812891,0.05276761438018193,0.45332753651192376
305,0.3841646753374275,0.23607904750983247,0.2713214128612411,0.30236177171115225,2,En Transición,9285,746,1057,565,933,152,4250,0.08034464189553042,0.11383952611739365,0.10048465266558966,0.03576470588235294,0.34561120086160474
306,1.0,0.24433195855892592,0.3753278146359922,0.5727983463507689,4,Crítico,6046,471,1083,372,928,171,2700,0.07790274561693682,0.17912669533575917,0.15348991068475024,0.06333333333333334,0.4345021501819385
307,0.8481581754111113,0.27937202053930027,0.5856067946500623,0.5681334373101772,4,Crítico,4627,370,579,298,972,76,2038,0.07996542035876378,0.125135076723579,0.2100713205100497,0.03729146221786065,0.6142208774583964
401,0.20390336395121325,0.1258153611061378,0.20980352772245756,0.17384819556743195,1,Cobertura Relativa,92375,6212,8295,4785,6591,2258,44900,0.06724763193504736,0.08979702300405953,0.07135047361299053,0.05028953229398664,0.2930338294993234
402,0.4454531692158835,0.08924240512296143,0.33930247714188133,0.2817387251639143,2,En Transición,15677,1001,2079,765,1476,418,7823,0.06385150220067615,0.13261465841678893,0.09415066658161637,0.053432187140483194,0.4037124449830963
403,0.24325113856372424,0.11303432653009512,0.3073391801270058,0.2039820220629289,1,Cobertura Relativa,14522,951,1833,737,1278,213,7138,0.06548684754166093,0.12622228343203415,0.08800440710645917,0.029840291398150743,0.3763944360280953
404,0.3934336993453646,0.031765059314143716,0.3915165891900495,0.24838282130181327,1,Cobertura Relativa,12727,740,1976,561,1525,164,6328,0.05814410308792331,0.15526046986721145,0.11982399622849062,0.025916561314791402,0.4483381786752573
405,0.24714194149822932,0.1040962897194954,0.2728779627166257,0.19507088503041503,1,Cobertura Relativa,29590,1909,3487,1480,2564,524,14427,0.06451503886448125,0.11784386617100372,0.08665089557282867,0.03632078741249047,0.3469415343021291
406,0.17889094091068627,0.11026019052975192,0.23032250578755353,0.161724953733686,1,Cobertura Relativa,7937,528,781,401,556,172,3937,0.06652387551971778,0.09839989920624921,0.07005165679727857,0.04368808737617475,0.31057074461383394
